,User ID,Max_Dogs,Membership_ID,Subscribed,City,State,Country,Exclude,Free_Start_User,Last_Active_At,Membership_Type
0,ce134e42-7144-11e5-ba71-058fbc01cf0b,2,2,1,Grand Forks,ND,US,0,0,3/12/15 0:25,2
1,ce1353d8-7144-11e5-ba71-058fbc01cf0b,2,1,1,Barre,MA,US,0,0,0:00:00,1
2,ce135ab8-7144-11e5-ba71-058fbc01cf0b,1,1,1,Darien,CT,US,0,0,0:00:00,1
3,ce13507c-7144-11e5-ba71-058fbc01cf0b,1,1,1,Winnetka,IL,US,0,0,9/12/14 19:26,1
4,ce135e14-7144-11e5-ba71-058fbc01cf0b,13,2,1,Raleigh,NC,US,1,0,0:00:00,2
5,ce13615c-7144-11e5-ba71-058fbc01cf0b,1,1,1,Auburn,WA,US,0,0,0:00:00,1
7,ce135f2c-7144-11e5-ba71-058fbc01cf0b,1,1,0,Fort Collins,CO,US,0,0,0:00:00,1
8,ce136a1c-7144-11e5-ba71-058fbc01cf0b,1,1,1,Seattle,WA,US,0,0,0:00:00,1
9,ce136ac6-7144-11e5-ba71-058fbc01cf0b,1,2,0,Bainbridge Island,WA,US,0,0,0:00:00,2
10,ce136c24-7144-11e5-ba71-058fbc01cf0b,2,2,1,Bremerton,WA,US,0,0,0:00:00,2
11,ce136e36-7144-11e5-ba71-058fbc01cf0b,1,2,0,Aptos,CA,US,0,0,0:00:00,2
12,ce136ee0-7144-11e5-ba71-058fbc01cf0b,1,2,1,North Ridgeville,OH,US,0,0,8/29/14 12:45,2
13,ce136f94-7144-11e5-ba71-058fbc01cf0b,4,2,1,Charlottesville,VA,US,0,0,4/13/14 13:46,2
14,ce134be0-7144-11e5-ba71-058fbc01cf0b,3,2,1,Hillsborough,NC,US,0,0,0:00:00,2
15,ce1371a6-7144-11e5-ba71-058fbc01cf0b,1,2,1,New York,NY,US,0,0,0:00:00,2
18,ce1373ae-7144-11e5-ba71-058fbc01cf0b,1,1,0,Los Angeles,CA,US,0,0,0:00:00,1
19,ce13750c-7144-11e5-ba71-058fbc01cf0b,1,1,1,Worland,WY,US,0,0,0:00:00,1
20,ce1375b6-7144-11e5-ba71-058fbc01cf0b,1,1,1,Grayslake,IL,US,0,0,0:00:00,1
21,ce1377b4-7144-11e5-ba71-058fbc01cf0b,1,2,1,Falls Church,VA,US,0,0,0:00:00,2
22,ce137700-7144-11e5-ba71-058fbc01cf0b,2,2,1,Everett,WA,US,0,0,7/30/14 21:54,2
23,ce137868-7144-11e5-ba71-058fbc01cf0b,2,2,1,Dixon,CA,US,0,0,9/20/14 17:08,2
25,ce137912-7144-11e5-ba71-058fbc01cf0b,1,2,1,Altadena,CA,US,0,0,0:00:00,2
26,ce1379c6-7144-11e5-ba71-058fbc01cf0b,1,1,0,Los Angeles,CA,US,0,0,7/31/15 3:43,1
27,ce137a7a-7144-11e5-ba71-058fbc01cf0b,2,2,0,Rosenau,A,FR,0,0,5/24/14 20:29,2
29,ce137034-7144-11e5-ba71-058fbc01cf0b,2,2,1,Sierra Vista,AZ,US,0,0,4/2/14 15:53,2
31,ce137c78-7144-11e5-ba71-058fbc01cf0b,1,2,1,Durham,NC,US,0,0,0:00:00,2
32,ce135bd0-7144-11e5-ba71-058fbc01cf0b,2,2,1,Northbrook,IL,US,0,0,7/1/15 21:43,2
33,ce13807e-7144-11e5-ba71-058fbc01cf0b,2,2,1,Cincinnati,CO,US,0,0,0:00:00,2
34,ce1381c8-7144-11e5-ba71-058fbc01cf0b,1,2,1,Charlotte,WA,US,0,0,0:00:00,2
35,ce138268-7144-11e5-ba71-058fbc01cf0b,1,2,1,Boston,NJ,US,0,0,10/13/14 12:03,2
36,ce138312-7144-11e5-ba71-058fbc01cf0b,1,1,1,Boston,AE,US,0,0,0:00:00,1
37,ce135194-7144-11e5-ba71-058fbc01cf0b,2,2,1,Birdsboro,PA,US,0,0,0:00:00,2
